team.id,jerseyNumber,id,fullName,link,position.code,position.name,position.type
19,59,8481543,Nikita Alexandrov,/api/v1/people/8481543,C,Center,Forward
19,63,8482089,Jake Neighbours,/api/v1/people/8482089,L,Left Wing,Forward
20,24,8476439,Brett Ritchie,/api/v1/people/8476439,R,Right Wing,Forward
20,22,8473453,Trevor Lewis,/api/v1/people/8473453,C,Center,Forward
20,17,8473473,Milan Lucic,/api/v1/people/8473473,L,Left Wing,Forward
20,11,8474150,Mikael Backlund,/api/v1/people/8474150,C,Center,Forward
20,25,8474593,Jacob Markstrom,/api/v1/people/8474593,G,Goalie,Goalie
20,26,8474628,Michael Stone,/api/v1/people/8474628,D,Defenseman,Defenseman
20,91,8475172,Nazem Kadri,/api/v1/people/8475172,C,Center,Forward
20,8,8475690,Chris Tanev,/api/v1/people/8475690,D,Defenseman,Defenseman
20,73,8475726,Tyler Toffoli,/api/v1/people/8475726,R,Right Wing,Forward
20,20,8476399,Blake Coleman,/api/v1/people/8476399,C,Center,Forward
20,10,8476456,Jonathan Huberdeau,/api/v1/people/8476456,C,Center,Forward
20,52,8477346,MacKenzie Weegar,/api/v1/people/8477346,D,Defenseman,Defenseman
20,28,8477496,Elias Lindholm,/api/v1/people/8477496,C,Center,Forward
20,16,8477507,Nikita Zadorov,/api/v1/people/8477507,D,Defenseman,Defenseman
20,88,8478233,Andrew Mangiapane,/api/v1/people/8478233,L,Left Wing,Forward
20,55,8478396,Noah Hanifin,/api/v1/people/8478396,D,Defenseman,Defenseman
20,4,8478397,Rasmus Andersson,/api/v1/people/8478397,D,Defenseman,Defenseman
20,80,8478435,Dan Vladar,/api/v1/people/8478435,G,Goalie,Goalie
20,29,8479346,Dillon Dube,/api/v1/people/8479346,C,Center,Forward
20,63,8480008,Adam Ruzicka,/api/v1/people/8480008,C,Center,Forward
20,49,8481592,Jakob Pelletier,/api/v1/people/8481592,L,Left Wing,Forward
20,3,8482067,Connor Mackey,/api/v1/people/8482067,D,Defenseman,Defenseman
20,67,8482241,Radim Zohorna,/api/v1/people/8482241,L,Left Wing,Forward
20,71,8482652,Walker Duehr,/api/v1/people/8482652,R,Right Wing,Forward
21,42,8476312,Josh Manson,/api/v1/people/8476312,D,Defenseman,Defenseman
